Status_of_Existing_Checking_Account,Duration_in_Month,Credit_History,Purpose,Credit_Amount,Savings_Account_bonds,Employment_Since,Installment_rate_in_percentage_of_disposable_income,Personal_Status_and_sex,other_debtors,Years_at_residence,Property,Age,Other_installment_plans,Housing,Number_of_Existing_credits,Job,Number_of_people_being_liable,telephone,foreign_worker,credit_risk
No checking account,15,critical account,education,1532,100-500 DM,1-4 years,4,female:divorced/separated/married,none,3,car or other,31,none,own,1,skilled employee,1,None,Yes,Low
No checking account,4,critical account,radio/television,1503,< 100 DM,4-7 years,2,male:single,none,1,real estate,42,none,own,2,unskilled/resident,2,None,Yes,Low
0 DM,36,existing credits paid,radio/television,2302,< 100 DM,1-4 years,4,male:divorced/separated,none,4,car or other,31,none,rent,1,skilled employee,1,None,Yes,High
0 DM,6,existing credits paid,new car,662,< 100 DM,<1 year,3,male:single,none,4,real estate,41,none,own,1,unskilled/resident,2,yes,Yes,Low
0-200 DM,36,existing credits paid,education,2273,< 100 DM,4-7 years,3,male:single,none,1,car or other,32,none,own,2,skilled employee,2,None,Yes,Low
0-200 DM,15,existing credits paid,new car,2631,100-500 DM,1-4 years,2,female:divorced/separated/married,none,4,car or other,28,none,rent,2,skilled employee,1,yes,Yes,High
No checking account,12,historical delay in payment,used car,1503,< 100 DM,1-4 years,4,male:married,none,4,real estate,41,none,rent,1,skilled employee,1,None,Yes,Low
No checking account,24,existing credits paid,radio/television,1311,100-500 DM,4-7 years,4,male:married,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee,1,yes,Yes,Low
No checking account,24,existing credits paid,radio/television,3105,no savings,<1 year,4,male:single,none,2,car or other,25,none,own,2,skilled employee,1,None,Yes,Low
>200 DM,21,critical account,education,2319,< 100 DM,<1 year,2,male:divorced/separated,none,1,car or other,33,none,rent,1,skilled employee,1,None,Yes,High
0 DM,6,existing credits paid,new car,1374,no savings,unemployed,4,female:divorced/separated/married,none,3,building society savings agreement/ life insurance,75,none,own,1,management/self employed,1,yes,Yes,Low
0-200 DM,18,critical account,furniture/equipment,3612,< 100 DM,>7 years,3,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,37,none,own,1,skilled employee,1,yes,Yes,Low
0 DM,48,existing credits paid,new car,7763,< 100 DM,>7 years,4,male:single,none,4,unknown/no property,42,bank,free,1,management/self employed,1,None,Yes,High
>200 DM,18,existing credits paid,furniture/equipment,3049,< 100 DM,<1 year,1,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,45,stores,own,1,unskilled/resident,1,None,Yes,Low
0-200 DM,12,existing credits paid,radio/television,1534,< 100 DM,<1 year,1,male:married,none,1,real estate,23,none,rent,1,skilled employee,1,None,Yes,High
No checking account,24,historical delay in payment,new car,2032,< 100 DM,>7 years,4,male:single,none,4,unknown/no property,60,none,free,2,skilled employee,1,yes,Yes,Low
0 DM,30,existing credits paid,furniture/equipment,6350,no savings,>7 years,4,male:single,none,4,building society savings agreement/ life insurance,31,none,own,1,skilled employee,1,None,Yes,High
>200 DM,18,existing credits paid,furniture/equipment,2864,< 100 DM,1-4 years,2,male:single,none,1,real estate,34,none,own,1,unskilled/resident,2,None,Yes,High
No checking account,12,critical account,new car,1255,< 100 DM,>7 years,4,male:single,none,4,real estate,61,none,own,2,unskilled/resident,1,None,Yes,Low
0 DM,24,historical delay in payment,new car,1333,< 100 DM,unemployed,4,male:single,none,2,real estate,43,none,free,2,skilled employee,2,None,Yes,High
No checking account,24,critical account,new car,2022,< 100 DM,1-4 years,4,female:divorced/separated/married,none,4,car or other,37,none,own,1,skilled employee,1,yes,Yes,Low
No checking account,24,existing credits paid,radio/television,1552,< 100 DM,4-7 years,3,male:single,none,1,car or other,32,bank,own,1,skilled employee,2,None,Yes,Low
0 DM,12,all credits at this bank paid back,radio/television,626,< 100 DM,1-4 years,4,female:divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled/resident,1,None,Yes,High
No checking account,48,critical account,used car,8858,no savings,4-7 years,2,male:single,none,1,unknown/no property,35,none,free,2,skilled employee,1,yes,Yes,Low
No checking account,12,critical account,repairs,996,no savings,4-7 years,4,female:divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee,1,None,Yes,Low
No checking account,6,all credits at this bank paid back,radio/television,1750,500-1000 DM,>7 years,2,male:single,none,4,building society savings agreement/ life insurance,45,bank,own,1,unskilled/resident,2,None,Yes,Low
0 DM,48,existing credits paid,radio/television,6999,< 100 DM,4-7 years,1,male:married,guarantor,1,real estate,34,none,own,2,skilled employee,1,yes,Yes,High
0-200 DM,12,critical account,new car,1995,100-500 DM,<1 year,4,male:single,none,1,car or other,27,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,9,existing credits paid,education,1199,< 100 DM,4-7 years,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,67,none,own,2,management/self employed,1,yes,Yes,Low
0-200 DM,12,existing credits paid,radio/television,1331,< 100 DM,<1 year,2,male:single,none,1,car or other,22,stores,own,1,skilled employee,1,None,Yes,High
0-200 DM,18,none/all paid back,new car,2278,100-500 DM,<1 year,3,female:divorced/separated/married,none,3,car or other,28,none,own,2,skilled employee,1,None,Yes,High
No checking account,21,none/all paid back,new car,5003,no savings,1-4 years,1,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,29,bank,own,2,skilled employee,1,yes,Yes,High
0 DM,24,all credits at this bank paid back,furniture/equipment,3552,< 100 DM,4-7 years,3,male:single,none,4,car or other,27,bank,own,1,skilled employee,1,None,Yes,High
0-200 DM,18,critical account,furniture/equipment,1928,< 100 DM,<1 year,2,male:single,none,2,real estate,31,none,own,2,unskilled/resident,1,None,Yes,High
0 DM,24,existing credits paid,used car,2964,no savings,>7 years,4,male:single,none,4,unknown/no property,49,bank,free,1,skilled employee,2,yes,Yes,Low
0 DM,24,all credits at this bank paid back,radio/television,1546,< 100 DM,4-7 years,4,male:single,guarantor,4,car or other,24,bank,rent,1,unskilled/resident,1,None,Yes,High
>200 DM,6,historical delay in payment,radio/television,683,< 100 DM,<1 year,2,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,29,bank,own,1,skilled employee,1,None,Yes,Low
0-200 DM,36,existing credits paid,new car,12389,no savings,1-4 years,1,male:single,none,4,unknown/no property,37,none,free,1,skilled employee,1,yes,Yes,High
0-200 DM,24,historical delay in payment,business,4712,no savings,1-4 years,4,male:single,none,2,building society savings agreement/ life insurance,37,bank,own,2,management/self employed,1,yes,Yes,Low
0-200 DM,24,historical delay in payment,radio/television,1553,100-500 DM,4-7 years,3,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,23,none,rent,2,skilled employee,1,yes,Yes,Low
0 DM,12,existing credits paid,new car,1372,< 100 DM,4-7 years,2,male:divorced/separated,none,3,car or other,36,none,own,1,skilled employee,1,None,Yes,High
No checking account,24,critical account,radio/television,2578,>1000 DM,>7 years,2,male:single,none,2,car or other,34,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,48,existing credits paid,radio/television,3979,no savings,4-7 years,4,male:single,none,1,car or other,41,none,own,2,skilled employee,2,yes,Yes,Low
0 DM,48,existing credits paid,radio/television,6758,< 100 DM,1-4 years,3,female:divorced/separated/married,none,2,car or other,31,none,own,1,skilled employee,1,yes,Yes,High
0 DM,24,existing credits paid,furniture/equipment,3234,< 100 DM,<1 year,4,female:divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled/resident,1,yes,Yes,High
No checking account,30,critical account,radio/television,5954,< 100 DM,4-7 years,3,male:single,co-applicant,2,car or other,38,none,own,1,skilled employee,1,None,Yes,Low
No checking account,24,existing credits paid,used car,5433,no savings,unemployed,2,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,26,none,rent,1,management/self employed,1,yes,Yes,Low
0 DM,15,existing credits paid,business,806,< 100 DM,1-4 years,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,22,none,own,1,unskilled/resident,1,None,Yes,Low
0-200 DM,9,existing credits paid,radio/television,1082,< 100 DM,>7 years,4,male:single,none,4,car or other,27,none,own,2,unskilled/resident,1,None,Yes,Low
No checking account,15,critical account,furniture/equipment,2788,< 100 DM,4-7 years,2,female:divorced/separated/married,co-applicant,3,car or other,24,bank,own,2,skilled employee,1,None,Yes,Low
0-200 DM,12,existing credits paid,radio/television,2930,< 100 DM,4-7 years,2,female:divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee,1,None,Yes,Low
No checking account,24,critical account,education,1927,no savings,1-4 years,3,female:divorced/separated/married,none,2,car or other,33,none,own,2,skilled employee,1,yes,Yes,Low
0-200 DM,36,critical account,new car,2820,< 100 DM,<1 year,4,male:divorced/separated,none,4,car or other,27,none,own,2,skilled employee,1,None,Yes,High
No checking account,24,existing credits paid,retaining,937,< 100 DM,<1 year,4,male:married,none,3,car or other,27,none,own,2,unskilled/resident,1,None,Yes,Low
0-200 DM,18,critical account,new car,1056,< 100 DM,>7 years,3,male:single,guarantor,3,real estate,30,bank,own,2,skilled employee,1,None,Yes,High
0-200 DM,12,critical account,new car,3124,< 100 DM,<1 year,1,male:single,none,3,real estate,49,bank,own,2,unskilled/resident,2,None,Yes,Low
No checking account,9,existing credits paid,furniture/equipment,1388,< 100 DM,1-4 years,4,female:divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee,1,None,Yes,Low
0-200 DM,36,existing credits paid,repairs,2384,< 100 DM,<1 year,4,male:single,none,1,unknown/no property,33,none,rent,1,unskilled/resident,1,None,Yes,High
No checking account,12,existing credits paid,new car,2133,no savings,>7 years,4,female:divorced/separated/married,none,4,unknown/no property,52,none,free,1,management/self employed,1,yes,Yes,Low
0 DM,18,existing credits paid,furniture/equipment,2039,< 100 DM,1-4 years,1,female:divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled employee,1,None,Yes,High
0 DM,9,critical account,new car,2799,< 100 DM,1-4 years,2,male:single,none,2,real estate,36,none,rent,2,skilled employee,2,None,Yes,Low
0 DM,12,existing credits paid,furniture/equipment,1289,< 100 DM,1-4 years,4,male:single,guarantor,1,building society savings agreement/ life insurance,21,none,own,1,unskilled/resident,1,None,Yes,Low
0 DM,18,existing credits paid,domestic appliances,1217,< 100 DM,1-4 years,4,male:married,none,3,real estate,47,none,own,1,unskilled/resident,1,yes,Yes,High
0 DM,12,critical account,furniture/equipment,2246,< 100 DM,>7 years,3,male:single,none,3,building society savings agreement/ life insurance,60,none,own,2,skilled employee,1,None,Yes,High
0 DM,12,critical account,radio/television,385,< 100 DM,4-7 years,4,female:divorced/separated/married,none,3,real estate,58,none,own,4,unskilled/resident,1,yes,Yes,Low
0-200 DM,24,historical delay in payment,new car,1965,no savings,1-4 years,4,female:divorced/separated/married,none,4,car or other,42,none,rent,2,skilled employee,1,yes,Yes,Low
No checking account,21,existing credits paid,business,1572,>1000 DM,>7 years,4,female:divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled/resident,1,None,Yes,Low
0-200 DM,24,existing credits paid,new car,2718,< 100 DM,1-4 years,3,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,20,none,rent,1,unskilled/resident,1,yes,Yes,High
0 DM,24,all credits at this bank paid back,used car0,1358,no savings,>7 years,4,male:single,none,3,car or other,40,stores,own,1,management/self employed,1,yes,Yes,High
0-200 DM,6,all credits at this bank paid back,new car,931,100-500 DM,<1 year,1,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,32,stores,own,1,unskilled/resident,1,None,Yes,High
0 DM,24,existing credits paid,new car,1442,< 100 DM,4-7 years,4,female:divorced/separated/married,none,4,car or other,23,none,rent,2,skilled employee,1,None,Yes,High
0-200 DM,24,none/all paid back,business,4241,< 100 DM,1-4 years,1,male:single,none,4,real estate,36,none,own,3,unskilled/resident,1,yes,Yes,High
No checking account,18,critical account,new car,2775,< 100 DM,4-7 years,2,male:single,none,2,building society savings agreement/ life insurance,31,bank,own,2,skilled employee,1,None,Yes,High
No checking account,24,historical delay in payment,business,3863,< 100 DM,1-4 years,1,male:single,none,2,unknown/no property,32,none,free,1,skilled employee,1,None,Yes,Low
0-200 DM,7,existing credits paid,radio/television,2329,< 100 DM,<1 year,1,female:divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,9,existing credits paid,furniture/equipment,918,< 100 DM,1-4 years,4,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,30,none,own,1,skilled employee,1,None,Yes,High
0-200 DM,24,all credits at this bank paid back,education,1837,< 100 DM,4-7 years,4,female:divorced/separated/married,none,4,unknown/no property,34,bank,free,1,unskilled/resident,1,None,Yes,High
No checking account,36,existing credits paid,furniture/equipment,3349,< 100 DM,1-4 years,4,female:divorced/separated/married,none,2,car or other,28,none,own,1,management/self employed,1,yes,Yes,High
>200 DM,10,existing credits paid,furniture/equipment,1275,< 100 DM,<1 year,4,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,23,none,own,1,skilled employee,1,None,Yes,Low
0 DM,24,all credits at this bank paid back,furniture/equipment,2828,500-1000 DM,1-4 years,4,male:single,none,4,real estate,22,stores,own,1,skilled employee,1,yes,Yes,Low
No checking account,24,critical account,business,4526,< 100 DM,1-4 years,3,male:single,none,2,real estate,74,none,own,1,management/self employed,1,yes,Yes,Low
0-200 DM,36,existing credits paid,radio/television,2671,100-500 DM,1-4 years,4,female:divorced/separated/married,co-applicant,4,unknown/no property,50,none,free,1,skilled employee,1,None,Yes,High
No checking account,18,existing credits paid,radio/television,2051,< 100 DM,<1 year,4,male:single,none,1,real estate,33,none,own,1,skilled employee,1,None,Yes,Low
No checking account,15,existing credits paid,used car,1300,no savings,>7 years,4,male:single,none,4,unknown/no property,45,bank,free,1,skilled employee,2,None,Yes,Low
0 DM,12,existing credits paid,domestic appliances,741,100-500 DM,unemployed,4,female:divorced/separated/married,none,3,building society savings agreement/ life insurance,22,none,own,1,skilled employee,1,None,Yes,High
>200 DM,10,existing credits paid,new car,1240,100-500 DM,>7 years,1,female:divorced/separated/married,none,4,unknown/no property,48,none,free,1,unskilled/resident,2,None,Yes,High
0 DM,21,existing credits paid,radio/television,3357,>1000 DM,<1 year,4,female:divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee,1,None,Yes,Low
0 DM,24,all credits at this bank paid back,used car,3632,< 100 DM,1-4 years,1,female:divorced/separated/married,guarantor,4,car or other,22,bank,rent,1,skilled employee,1,None,No,Low
No checking account,18,historical delay in payment,furniture/equipment,1808,< 100 DM,4-7 years,4,female:divorced/separated/married,none,1,real estate,22,none,own,1,skilled employee,1,None,Yes,High
0-200 DM,48,none/all paid back,business,12204,no savings,1-4 years,2,male:single,none,2,car or other,48,bank,own,1,management/self employed,1,yes,Yes,Low
0-200 DM,60,historical delay in payment,radio/television,9157,no savings,1-4 years,2,male:single,none,2,unknown/no property,27,none,free,1,management/self employed,1,None,Yes,Low
0 DM,6,critical account,new car,3676,< 100 DM,1-4 years,1,male:single,none,3,real estate,37,none,rent,3,skilled employee,2,None,Yes,Low
0-200 DM,30,existing credits paid,furniture/equipment,3441,100-500 DM,1-4 years,2,female:divorced/separated/married,co-applicant,4,car or other,21,none,rent,1,skilled employee,1,None,Yes,High
No checking account,12,existing credits paid,new car,640,< 100 DM,1-4 years,4,male:divorced/separated,none,2,real estate,49,none,own,1,unskilled/resident,1,None,Yes,Low
0-200 DM,21,critical account,business,3652,< 100 DM,4-7 years,2,male:single,none,3,building society savings agreement/ life insurance,27,none,own,2,skilled employee,1,None,Yes,Low
No checking account,18,critical account,new car,1530,< 100 DM,1-4 years,3,male:single,none,2,building society savings agreement/ life insurance,32,bank,own,2,skilled employee,1,None,Yes,High
No checking account,48,existing credits paid,business,3914,no savings,1-4 years,4,male:divorced/separated,none,2,real estate,38,bank,own,1,skilled employee,1,None,Yes,High
0 DM,12,existing credits paid,furniture/equipment,1858,< 100 DM,<1 year,4,female:divorced/separated/married,none,1,car or other,22,none,rent,1,skilled employee,1,None,Yes,Low
0 DM,18,existing credits paid,radio/television,2600,< 100 DM,1-4 years,4,male:single,none,4,unknown/no property,65,none,free,2,skilled employee,1,None,Yes,High
No checking account,15,existing credits paid,radio/television,1979,no savings,>7 years,4,male:single,none,2,car or other,35,none,own,1,skilled employee,1,None,Yes,Low
>200 DM,6,existing credits paid,furniture/equipment,2116,< 100 DM,1-4 years,2,male:single,none,2,real estate,41,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,9,all credits at this bank paid back,new car,1437,100-500 DM,4-7 years,2,male:single,none,3,unknown/no property,29,none,own,1,skilled employee,1,None,Yes,High
No checking account,42,critical account,furniture/equipment,4042,500-1000 DM,1-4 years,4,male:single,none,4,real estate,36,none,own,2,skilled employee,1,yes,Yes,Low
No checking account,9,existing credits paid,education,3832,no savings,>7 years,1,male:single,none,4,real estate,64,none,own,1,unskilled/resident,1,None,Yes,Low
0 DM,24,existing credits paid,radio/television,3660,< 100 DM,1-4 years,2,female:divorced/separated/married,none,4,car or other,28,none,own,1,skilled employee,1,None,Yes,Low
0 DM,18,all credits at this bank paid back,furniture/equipment,1553,< 100 DM,1-4 years,4,male:single,none,3,car or other,44,bank,own,1,skilled employee,1,None,Yes,High
0-200 DM,15,existing credits paid,radio/television,1444,no savings,<1 year,4,male:single,none,1,building society savings agreement/ life insurance,23,none,own,1,skilled employee,1,None,Yes,Low
No checking account,9,existing credits paid,furniture/equipment,1980,< 100 DM,<1 year,2,female:divorced/separated/married,co-applicant,2,car or other,19,none,rent,2,skilled employee,1,None,Yes,High
0-200 DM,24,existing credits paid,new car,1355,< 100 DM,<1 year,3,female:divorced/separated/married,none,4,car or other,25,none,own,1,unskilled/resident,1,yes,Yes,High
No checking account,12,existing credits paid,education,1393,< 100 DM,>7 years,4,male:single,none,4,building society savings agreement/ life insurance,47,bank,own,3,skilled employee,2,yes,Yes,Low
No checking account,24,existing credits paid,radio/television,1376,500-1000 DM,4-7 years,4,female:divorced/separated/married,none,1,car or other,28,none,own,1,skilled employee,1,None,Yes,Low
No checking account,60,historical delay in payment,radio/television,15653,< 100 DM,4-7 years,2,male:single,none,4,car or other,21,none,own,2,skilled employee,1,yes,Yes,Low
No checking account,12,existing credits paid,radio/television,1493,< 100 DM,<1 year,4,female:divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee,2,None,Yes,Low
0 DM,42,historical delay in payment,radio/television,4370,< 100 DM,4-7 years,3,male:single,none,2,building society savings agreement/ life insurance,26,bank,own,2,skilled employee,2,yes,Yes,High
0 DM,18,existing credits paid,education,750,< 100 DM,unemployed,4,female:divorced/separated/married,none,1,real estate,27,none,own,1,Unemployed,1,None,Yes,High
0-200 DM,15,existing credits paid,repairs,1308,< 100 DM,>7 years,4,male:single,none,4,car or other,38,none,own,2,unskilled/resident,1,None,Yes,Low
No checking account,15,existing credits paid,education,4623,100-500 DM,1-4 years,3,male:single,none,2,building society savings agreement/ life insurance,40,none,own,1,management/self employed,1,yes,Yes,High
No checking account,24,critical account,radio/television,1851,< 100 DM,4-7 years,4,male:married,guarantor,2,car or other,33,none,own,2,skilled employee,1,yes,Yes,Low
0 DM,18,critical account,radio/television,1880,< 100 DM,4-7 years,4,male:married,none,1,building society savings agreement/ life insurance,32,none,own,2,management/self employed,1,yes,Yes,Low
No checking account,36,historical delay in payment,business,7980,no savings,<1 year,4,male:single,none,4,car or other,27,none,rent,2,skilled employee,1,yes,Yes,High
0 DM,30,none/all paid back,furniture/equipment,4583,< 100 DM,1-4 years,2,male:divorced/separated,guarantor,2,real estate,32,none,own,2,skilled employee,1,None,Yes,Low
No checking account,12,existing credits paid,new car,1386,500-1000 DM,1-4 years,2,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,26,none,own,1,skilled employee,1,None,Yes,High
>200 DM,24,existing credits paid,new car,947,< 100 DM,4-7 years,4,male:single,none,3,unknown/no property,38,bank,free,1,skilled employee,2,None,Yes,High
0 DM,12,existing credits paid,education,684,< 100 DM,1-4 years,4,male:single,none,4,car or other,40,none,rent,1,unskilled/resident,2,None,Yes,High
0 DM,48,existing credits paid,education,7476,< 100 DM,4-7 years,4,male:single,none,1,unknown/no property,50,none,free,1,management/self employed,1,yes,Yes,Low
0-200 DM,12,existing credits paid,furniture/equipment,1922,< 100 DM,1-4 years,4,male:single,none,2,building society savings agreement/ life insurance,37,none,own,1,unskilled/resident,1,None,Yes,High
0 DM,24,existing credits paid,new car,2303,< 100 DM,>7 years,4,male:single,co-applicant,1,real estate,45,none,own,1,skilled employee,1,None,Yes,High
0-200 DM,36,historical delay in payment,new car,8086,100-500 DM,>7 years,2,male:single,none,4,car or other,42,none,own,4,management/self employed,1,yes,Yes,High
No checking account,24,critical account,used car,2346,< 100 DM,4-7 years,4,male:single,none,3,car or other,35,none,own,2,skilled employee,1,yes,Yes,Low
0 DM,14,existing credits paid,new car,3973,< 100 DM,unemployed,1,male:single,none,4,unknown/no property,22,none,free,1,skilled employee,1,None,Yes,Low
0-200 DM,12,existing credits paid,new car,888,< 100 DM,>7 years,4,male:single,none,4,car or other,41,bank,own,1,unskilled/resident,2,None,Yes,High
No checking account,48,existing credits paid,radio/television,10222,no savings,4-7 years,4,male:single,none,3,car or other,37,stores,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,30,none/all paid back,business,4221,< 100 DM,1-4 years,2,female:divorced/separated/married,none,1,car or other,28,none,own,2,skilled employee,1,None,Yes,Low
0-200 DM,18,critical account,furniture/equipment,6361,< 100 DM,>7 years,2,male:single,none,1,unknown/no property,41,none,own,1,skilled employee,1,yes,Yes,Low
>200 DM,12,existing credits paid,radio/television,1297,< 100 DM,1-4 years,3,male:married,none,4,real estate,23,none,rent,1,skilled employee,1,None,Yes,Low
0 DM,12,existing credits paid,new car,900,no savings,1-4 years,4,male:married,none,2,car or other,23,none,own,1,skilled employee,1,None,Yes,High
No checking account,21,existing credits paid,furniture/equipment,2241,< 100 DM,>7 years,4,male:single,none,2,real estate,50,none,own,2,skilled employee,1,None,Yes,Low
0-200 DM,6,historical delay in payment,furniture/equipment,1050,< 100 DM,unemployed,4,male:single,none,1,building society savings agreement/ life insurance,35,stores,own,2,management/self employed,1,yes,Yes,Low
>200 DM,6,critical account,education,1047,< 100 DM,1-4 years,2,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,50,none,own,1,unskilled/resident,1,None,Yes,Low
No checking account,24,critical account,used car0,6314,< 100 DM,unemployed,4,male:single,co-applicant,2,unknown/no property,27,bank,own,2,management/self employed,1,yes,Yes,Low
0-200 DM,30,all credits at this bank paid back,furniture/equipment,3496,>1000 DM,1-4 years,4,male:single,none,2,car or other,34,stores,own,1,skilled employee,2,yes,Yes,Low
No checking account,48,all credits at this bank paid back,business,3609,< 100 DM,1-4 years,1,female:divorced/separated/married,none,1,real estate,27,stores,own,1,skilled employee,1,None,Yes,Low
0 DM,12,critical account,new car,4843,< 100 DM,>7 years,3,male:single,co-applicant,4,building society savings agreement/ life insurance,43,none,rent,2,skilled employee,1,yes,Yes,High
>200 DM,30,critical account,radio/television,3017,< 100 DM,>7 years,4,male:single,none,4,building society savings agreement/ life insurance,47,none,own,1,skilled employee,1,None,Yes,Low
No checking account,24,critical account,business,4139,100-500 DM,1-4 years,3,male:single,none,3,building society savings agreement/ life insurance,27,none,own,2,unskilled/resident,1,yes,Yes,Low
No checking account,36,existing credits paid,business,5742,100-500 DM,4-7 years,2,male:single,none,2,car or other,31,none,own,2,skilled employee,1,yes,Yes,Low
No checking account,60,existing credits paid,new car,10366,< 100 DM,>7 years,2,male:single,none,4,building society savings agreement/ life insurance,42,none,own,1,management/self employed,1,yes,Yes,Low
No checking account,6,critical account,new car,2080,500-1000 DM,1-4 years,1,male:married,none,2,car or other,24,none,own,1,skilled employee,1,None,Yes,Low
No checking account,21,historical delay in payment,business,2580,500-1000 DM,<1 year,4,male:single,none,2,real estate,41,bank,own,1,unskilled/resident,2,None,Yes,High
No checking account,30,critical account,radio/television,4530,< 100 DM,4-7 years,4,female:divorced/separated/married,none,4,car or other,26,none,rent,1,management/self employed,1,yes,Yes,Low
No checking account,24,critical account,furniture/equipment,5150,< 100 DM,>7 years,4,male:single,none,4,car or other,33,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,72,existing credits paid,radio/television,5595,100-500 DM,1-4 years,2,male:married,none,2,car or other,24,none,own,1,skilled employee,1,None,Yes,High
0 DM,24,existing credits paid,radio/television,2384,< 100 DM,>7 years,4,male:single,none,4,real estate,64,bank,rent,1,unskilled/resident,1,None,Yes,Low
No checking account,18,existing credits paid,radio/television,1453,< 100 DM,<1 year,3,female:divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee,1,None,Yes,Low
No checking account,6,existing credits paid,education,1538,< 100 DM,<1 year,1,female:divorced/separated/married,none,2,unknown/no property,56,none,own,1,skilled employee,1,None,Yes,Low
No checking account,12,existing credits paid,radio/television,2279,no savings,1-4 years,4,male:single,none,4,unknown/no property,37,none,free,1,skilled employee,1,yes,Yes,Low
No checking account,15,historical delay in payment,radio/television,1478,< 100 DM,1-4 years,4,male:married,none,3,real estate,33,bank,own,2,skilled employee,1,None,Yes,Low
No checking account,24,critical account,radio/television,5103,< 100 DM,<1 year,3,male:married,none,3,unknown/no property,47,none,free,3,skilled employee,1,yes,Yes,Low
0-200 DM,36,historical delay in payment,business,9857,100-500 DM,4-7 years,1,male:single,none,3,building society savings agreement/ life insurance,31,none,own,2,unskilled/resident,2,yes,Yes,Low
No checking account,60,existing credits paid,new car,6527,no savings,1-4 years,4,male:single,none,4,unknown/no property,34,none,free,1,skilled employee,2,yes,Yes,Low
>200 DM,10,critical account,radio/television,1347,no savings,4-7 years,4,male:single,none,2,building society savings agreement/ life insurance,27,none,own,2,skilled employee,1,yes,Yes,Low
0-200 DM,36,historical delay in payment,new car,2862,100-500 DM,>7 years,4,male:single,none,3,unknown/no property,30,none,free,1,skilled employee,1,None,Yes,Low
No checking account,9,existing credits paid,radio/television,2753,100-500 DM,>7 years,3,male:single,co-applicant,4,car or other,35,none,own,1,skilled employee,1,yes,Yes,Low
0 DM,12,existing credits paid,new car,3651,>1000 DM,1-4 years,1,male:single,none,3,building society savings agreement/ life insurance,31,none,own,1,skilled employee,2,None,Yes,Low
0 DM,15,critical account,furniture/equipment,975,< 100 DM,1-4 years,2,male:divorced/separated,none,3,building society savings agreement/ life insurance,25,none,own,2,skilled employee,1,None,Yes,Low
0-200 DM,15,existing credits paid,repairs,2631,100-500 DM,1-4 years,3,female:divorced/separated/married,none,2,real estate,25,none,own,1,unskilled/resident,1,None,Yes,Low
0-200 DM,24,existing credits paid,radio/television,2896,100-500 DM,<1 year,2,male:single,none,1,car or other,29,none,own,1,skilled employee,1,None,Yes,Low
0 DM,6,critical account,new car,4716,no savings,<1 year,1,male:single,none,3,real estate,44,none,own,2,unskilled/resident,2,None,Yes,Low
No checking account,24,existing credits paid,radio/television,2284,< 100 DM,4-7 years,4,male:single,none,2,car or other,28,none,own,1,skilled employee,1,yes,Yes,Low
No checking account,6,existing credits paid,used car,1236,500-1000 DM,1-4 years,2,male:single,none,4,building society savings agreement/ life insurance,50,none,rent,1,skilled employee,1,None,Yes,Low
0-200 DM,12,existing credits paid,radio/television,1103,< 100 DM,4-7 years,4,male:single,guarantor,3,real estate,29,none,own,2,skilled employee,1,None,No,Low
No checking account,12,critical account,new car,926,< 100 DM,unemployed,1,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,38,none,own,1,Unemployed,1,None,Yes,Low
No checking account,18,critical account,radio/television,1800,< 100 DM,1-4 years,4,male:single,none,2,car or other,24,none,own,2,skilled employee,1,None,Yes,Low
>200 DM,15,existing credits paid,education,1905,< 100 DM,>7 years,4,male:single,none,4,car or other,40,none,rent,1,management/self employed,1,yes,Yes,Low
